NAME,DATA,DEVICE,PUBLISHED AT
temperatureF,68.737999,sanaz,"April 29, 2021 at 12:07AM"
temperatureF,73.608803,sanaz,"April 29, 2021 at 12:08AM"
temperatureF,73.133598,sanaz,"April 29, 2021 at 12:09AM"
temperatureF,73.252403,sanaz,"April 29, 2021 at 12:10AM"
temperatureF,74.856194,sanaz,"April 29, 2021 at 12:11AM"
temperatureF,73.668198,sanaz,"April 29, 2021 at 12:12AM"
temperatureF,73.5494,sanaz,"April 29, 2021 at 12:13AM"
temperatureF,73.430603,sanaz,"April 29, 2021 at 12:14AM"
temperatureF,73.371201,sanaz,"April 29, 2021 at 12:15AM"
temperatureF,74.024597,sanaz,"April 29, 2021 at 12:16AM"
temperatureF,73.311798,sanaz,"April 29, 2021 at 12:17AM"
temperatureF,73.133598,sanaz,"April 29, 2021 at 12:18AM"
temperatureF,73.074196,sanaz,"April 29, 2021 at 12:19AM"
temperatureF,73.430603,sanaz,"April 29, 2021 at 12:20AM"
temperatureF,71.232803,sanaz,"April 29, 2021 at 12:21AM"
temperatureF,68.2034,sanaz,"April 29, 2021 at 12:22AM"
temperatureF,71.945602,sanaz,"April 29, 2021 at 12:23AM"
temperatureF,69.332001,sanaz,"April 29, 2021 at 12:24AM"
temperatureF,69.332001,sanaz,"April 29, 2021 at 12:25AM"
temperatureF,69.035004,sanaz,"April 29, 2021 at 12:26AM"
temperatureF,69.272598,sanaz,"April 29, 2021 at 12:27AM"
temperatureF,70.282402,sanaz,"April 29, 2021 at 12:28AM"
temperatureF,71.945602,sanaz,"April 29, 2021 at 12:29AM"
temperatureF,72.598999,sanaz,"April 29, 2021 at 12:30AM"
temperatureF,69.807198,sanaz,"April 29, 2021 at 12:31AM"
temperatureF,70.579399,sanaz,"April 29, 2021 at 12:32AM"
temperatureF,70.401199,sanaz,"April 29, 2021 at 12:33AM"
temperatureF,71.292198,sanaz,"April 29, 2021 at 12:34AM"
temperatureF,74.380997,sanaz,"April 29, 2021 at 12:35AM"
temperatureF,71.470406,sanaz,"April 29, 2021 at 12:36AM"
temperatureF,71.173401,sanaz,"April 29, 2021 at 12:37AM"
temperatureF,72.955399,sanaz,"April 29, 2021 at 12:38AM"
temperatureF,71.8862,sanaz,"April 29, 2021 at 12:39AM"
temperatureF,71.708,sanaz,"April 29, 2021 at 12:40AM"
temperatureF,71.945602,sanaz,"April 29, 2021 at 12:41AM"
temperatureF,69.8666,sanaz,"April 29, 2021 at 12:42AM"
temperatureF,71.945602,sanaz,"April 29, 2021 at 12:43AM"
temperatureF,72.658401,sanaz,"April 29, 2021 at 12:44AM"
temperatureF,72.004997,sanaz,"April 29, 2021 at 12:45AM"
temperatureF,71.054596,sanaz,"April 29, 2021 at 12:46AM"
temperatureF,68.797401,sanaz,"April 29, 2021 at 12:47AM"
temperatureF,68.737999,sanaz,"April 29, 2021 at 12:48AM"
temperatureF,70.341805,sanaz,"April 29, 2021 at 12:49AM"
temperatureF,73.311798,sanaz,"April 29, 2021 at 12:50AM"
temperatureF,70.401199,sanaz,"April 29, 2021 at 12:51AM"
temperatureF,71.292198,sanaz,"April 29, 2021 at 12:52AM"
temperatureF,69.926003,sanaz,"April 29, 2021 at 12:53AM"
temperatureF,71.8862,sanaz,"April 29, 2021 at 12:54AM"
temperatureF,71.292198,sanaz,"April 29, 2021 at 12:55AM"
temperatureF,70.104195,sanaz,"April 29, 2021 at 12:56AM"
temperatureF,69.8666,sanaz,"April 29, 2021 at 12:57AM"
temperatureF,68.084595,sanaz,"April 29, 2021 at 12:58AM"
temperatureF,67.787598,sanaz,"April 29, 2021 at 12:59AM"
temperatureF,70.401199,sanaz,"April 29, 2021 at 01:00AM"
temperatureF,73.7276,sanaz,"April 29, 2021 at 01:01AM"
temperatureF,72.004997,sanaz,"April 29, 2021 at 01:02AM"
temperatureF,70.935799,sanaz,"April 29, 2021 at 01:03AM"
temperatureF,73.311798,sanaz,"April 29, 2021 at 01:04AM"
temperatureF,71.945602,sanaz,"April 29, 2021 at 01:05AM"
